// Aura
// Database file
// 
// Structure:
// Age  Race  Ap  Life  Mana  Stamine  Str  Int  Dex  Will  Luck
//---------------------------------------------------------------------------

// Human
10,10000,5,4,1,2,2,0,2,3,3
11,10000,5,4,1,2,2,0,3,3,2
12,10000,4,3,1,3,2,0,3,3,2
13,10000,4,3,2,3,2,0,3,3,1
14,10000,3,3,2,3,2,1,2,2,1
15,10000,3,3,2,3,2,2,1,2,0
16,10000,2,2,3,3,2,2,1,2,0
17,10000,2,2,3,3,2,3,0,1,0
18,10000,2,2,3,3,2,3,0,1,0
19,10000,2,2,3,3,2,3,0,1,0
20,10000,2,1,3,3,2,3,1,1,0
21,10000,1,1,2,2,2,4,2,1,0
22,10000,1,1,2,1,2,3,3,1,0
23,10000,1,1,1,1,1,2,2,1,0
24,10000,1,0,1,1,1,1,1,1,0
25,10000,0,0,0,0,0,0,0,0,0

// Elf
10,9000,5,2,4,2,1,2,3,1,2
11,9000,5,2,4,2,1,2,3,1,2
12,9000,4,3,3,2,1,2,3,1,1
13,9000,4,3,3,2,1,2,3,2,1
14,9000,3,2,3,3,1,3,2,2,1
15,9000,3,2,2,3,1,3,2,2,0
16,9000,2,2,2,3,1,3,2,1,0
17,9000,2,2,2,2,1,2,2,2,0
18,9000,2,2,2,2,2,2,2,2,0
19,9000,2,2,2,2,2,2,1,1,0
20,9000,2,2,2,2,2,2,1,1,0
21,9000,1,1,2,1,2,2,1,2,0
22,9000,1,1,2,1,2,2,1,1,0
23,9000,1,1,1,1,1,2,1,1,0
24,9000,1,1,1,0,1,1,1,1,0
25,9000,0,0,0,0,0,0,0,0,0

// Giant
10,8000,5,4,1,2,2,0,2,3,3
11,8000,5,4,1,2,2,0,3,3,2
12,8000,4,3,1,3,2,0,3,3,2
13,8000,4,3,2,3,2,0,3,3,1
14,8000,3,3,2,3,2,1,2,2,1
15,8000,3,3,2,3,2,2,1,2,0
16,8000,2,2,3,3,2,2,1,2,0
17,8000,2,2,3,3,2,3,0,1,0
18,8000,2,2,3,3,2,3,0,1,0
19,8000,2,2,3,3,2,3,0,1,0
20,8000,2,1,3,3,2,3,1,1,0
21,8000,1,1,2,2,2,4,2,1,0
22,8000,1,1,2,1,2,3,3,1,0
23,8000,1,1,1,1,1,2,2,1,0
24,8000,1,0,1,1,1,1,1,1,0
25,8000,0,0,0,0,0,0,0,0,0
